ValueDate,TheValue
2018-04-23,0.5154
2018-04-20,0.5243
2018-04-19,0.5257
2018-04-18,0.5237
2018-04-17,0.5217
2018-04-16,0.5208
2018-04-13,0.5214
2018-04-12,0.5238
2018-04-11,0.5220
2018-04-10,0.5201
2018-04-09,0.5243
2018-04-06,0.5225
2018-04-05,0.5288
2018-04-04,0.5310
2018-04-03,0.5319
2018-03-29,0.5327
2018-03-28,0.5380
2018-03-27,0.5379
2018-03-26,0.5404
2018-03-23,0.5362
2018-03-22,0.5364
2018-03-20,0.5273
2018-03-19,0.5249
2018-03-16,0.5302
2018-03-15,0.5351
2018-03-14,0.5372
2018-03-13,0.5347
2018-03-12,0.5355
2018-03-09,0.5324
2018-03-08,0.5322
2018-03-07,0.5350
2018-03-06,0.5358
2018-03-05,0.5297
2018-03-02,0.5353
2018-03-01,0.5350
2018-02-28,0.5379
2018-02-27,0.5448
2018-02-26,0.5456
2018-02-23,0.5445
2018-02-22,0.5429
2018-02-21,0.5417
2018-02-20,0.5416
2018-02-19,0.5440
2018-02-16,0.5463
2018-02-15,0.5440
2018-02-14,0.5344
2018-02-13,0.5319
2018-02-12,0.5287
2018-02-09,0.5214
2018-02-08,0.5235
2018-02-07,0.5240
2018-02-06,0.5188
2018-02-05,0.5226
2018-02-02,0.5254
2018-02-01,0.5301
2018-01-31,0.5297
2018-01-30,0.5274
2018-01-29,0.5302
2018-01-26,0.5337
2018-01-25,0.5310
2018-01-24,0.5326
2018-01-23,0.5286
2018-01-22,0.5313
2018-01-19,0.5269
2018-01-18,0.5248
2018-01-17,0.5228
2018-01-16,0.5254
2018-01-15,0.5209
2018-01-12,0.5210
2018-01-11,0.5224
2018-01-10,0.5263
2018-01-09,0.5252
2018-01-08,0.5241
2018-01-05,0.5252
2018-01-04,0.5282
2018-01-03,0.5246
2018-01-02,0.5268
2017-12-29,0.5295
2017-12-28,0.5332
2017-12-27,0.5248
2017-12-22,0.5166
2017-12-21,0.5158
2017-12-20,0.5178
2017-12-19,0.5187
2017-12-18,0.5063
2017-12-15,0.4902
2017-12-14,0.4907
2017-12-13,0.4858
2017-12-12,0.4863
