ValueDate,TheValue
2018-04-23,14.9892
2018-04-20,14.7946
2018-04-19,14.7788
2018-04-18,14.8356
2018-04-17,14.9136
2018-04-16,14.9055
2018-04-13,14.8640
2018-04-12,14.8307
2018-04-11,14.8916
2018-04-10,14.9154
2018-04-09,14.7795
2018-04-06,14.7500
2018-04-05,14.6171
2018-04-04,14.5963
2018-04-03,14.5655
2018-03-29,14.5410
2018-03-28,14.4973
2018-03-27,14.5159
2018-03-26,14.4124
2018-03-23,14.5452
2018-03-22,14.5739
2018-03-20,14.8120
2018-03-19,14.8080
2018-03-16,14.6923
2018-03-15,14.6078
2018-03-14,14.5475
2018-03-13,14.5933
2018-03-12,14.5584
2018-03-09,14.6443
2018-03-08,14.7593
2018-03-07,14.6679
2018-03-06,14.6081
2018-03-05,14.7392
2018-03-02,14.5508
2018-03-01,14.4655
2018-02-28,14.3678
2018-02-27,14.2814
2018-02-26,14.2435
2018-02-23,14.3231
2018-02-22,14.3817
2018-02-21,14.4217
2018-02-20,14.4822
2018-02-19,14.4733
2018-02-16,14.5554
2018-02-15,14.5795
2018-02-14,14.6746
2018-02-13,14.7030
2018-02-12,14.6909
2018-02-09,14.8153
2018-02-08,14.7953
2018-02-07,14.7826
2018-02-06,15.0206
2018-02-05,14.9930
2018-02-02,14.9577
2018-02-01,14.7565
2018-01-31,14.7717
2018-01-30,14.8553
2018-01-29,14.8012
2018-01-26,14.7683
2018-01-25,14.7970
2018-01-24,14.7803
2018-01-23,14.8089
2018-01-22,14.7570
2018-01-19,14.9127
2018-01-18,14.9542
2018-01-17,15.0490
2018-01-16,15.0065
2018-01-15,15.1059
2018-01-12,14.9925
2018-01-11,14.8723
2018-01-10,14.8020
2018-01-09,14.8312
2018-01-08,14.8673
2018-01-05,14.8857
2018-01-04,14.8021
2018-01-03,14.9216
2018-01-02,14.8527
2017-12-29,14.7104
2017-12-28,14.6381
2017-12-27,14.8362
2017-12-22,15.0748
2017-12-21,15.1680
2017-12-20,15.0601
2017-12-19,15.0453
2017-12-18,15.3917
2017-12-15,15.8885
