ValueDate,TheValue
2017-03-10,13.3060
2017-03-09,13.2168
2017-03-08,12.9887
2017-03-07,12.9609
2017-03-06,13.0037
2017-03-03,13.1260
2017-03-02,13.0582
2017-03-01,13.0927
2017-02-28,13.0141
2017-02-27,12.9714
2017-02-24,12.9128
2017-02-23,12.9296
2017-02-22,13.0777
2017-02-21,13.1186
2017-02-20,13.1577
2017-02-17,13.0135
2017-02-16,12.9258
2017-02-15,13.0132
2017-02-14,13.2302
2017-02-13,13.2968
2017-02-10,13.3847
2017-02-09,13.4410
2017-02-08,13.4933
2017-02-07,13.4227
2017-02-06,13.2932
2017-02-03,13.4353
2017-02-02,13.3507
2017-02-01,13.4899
2017-01-31,13.5219
2017-01-30,13.6344
2017-01-27,13.4688
2017-01-26,13.2268
2017-01-25,13.3469
2017-01-24,13.4647
2017-01-23,13.5322
2017-01-20,13.5193
2017-01-19,13.5735
2017-01-18,13.5229
2017-01-17,13.4952
2017-01-16,13.6035
2017-01-13,13.5366
2017-01-12,13.6166
2017-01-11,13.7096
2017-01-10,13.6318
2017-01-09,13.7373
2017-01-06,13.6854
2017-01-05,13.5763
2017-01-04,13.7164
2017-01-03,13.7254
2016-12-30,13.6282
2016-12-29,13.7374
2016-12-28,13.9404
2016-12-23,14.0217
2016-12-22,13.9726
2016-12-21,13.9685
2016-12-20,14.1177
2016-12-19,13.9821
2016-12-15,14.0357
2016-12-14,13.6215
2016-12-13,13.5938
2016-12-12,13.8455
2016-12-09,13.7352
2016-12-08,13.5266
2016-12-07,13.6527
2016-12-06,13.6930
2016-12-05,13.8069
2016-12-02,14.0696
2016-12-01,13.9822
2016-11-30,13.9918
2016-11-29,13.8499
2016-11-28,13.8572
2016-11-25,14.0599
2016-11-24,14.2163
2016-11-23,14.0987
2016-11-22,14.1399
2016-11-21,14.3638
2016-11-18,14.5491
2016-11-17,14.2963
2016-11-16,14.2208
2016-11-15,14.1777
2016-11-14,14.4540
2016-11-11,14.2372
2016-11-10,13.3743
2016-11-09,13.5135
2016-11-08,13.4174
2016-11-07,13.5353
2016-11-04,13.5043
2016-11-03,13.4762
2016-11-02,13.4860
2016-11-01,13.5033
2016-10-31,13.7383
2016-10-28,13.9372
2016-10-27,13.8906
2016-10-26,13.7222
2016-10-25,13.8599
2016-10-24,13.8812
2016-10-21,14.0436
2016-10-20,13.9203
2016-10-19,13.9000
2016-10-18,14.0369
2016-10-17,14.3507
2016-10-14,14.2449
2016-10-13,14.3599
2016-10-12,14.4137
2016-10-11,14.1472
2016-10-10,13.7818
2016-10-07,13.9200
2016-10-06,13.7536
2016-10-05,13.7419
2016-10-04,13.6163
2016-10-03,13.6339
2016-09-30,13.9679
2016-09-29,13.6613
2016-09-28,13.4590
2016-09-27,13.5643
2016-09-26,13.6960
2016-09-23,13.5960
2016-09-22,13.4265
2016-09-21,13.7783
2016-09-20,13.9122
2016-09-19,14.1177
2016-09-16,14.1289
2016-09-15,14.3549
2016-09-14,14.3289
2016-09-13,14.2779
2016-09-12,14.5416
2016-09-09,14.2696
2016-09-08,13.9718
2016-09-07,14.0174
2016-09-06,14.2719
2016-09-05,14.3902
2016-09-02,14.6663
2016-09-01,14.6482
2016-08-31,14.4331
2016-08-30,14.3969
2016-08-29,14.4271
2016-08-26,14.1810
2016-08-25,14.1437
2016-08-24,14.0297
2016-08-23,13.4470
2016-08-22,13.6194
2016-08-19,13.5118
2016-08-18,13.2748
2016-08-17,13.4103
2016-08-16,13.2747
2016-08-15,13.4152
2016-08-12,13.3854
2016-08-11,13.3455
2016-08-10,13.3829
2016-08-08,13.6461
2016-08-05,13.6935
2016-08-04,13.8602
2016-08-02,13.9849
2016-08-01,13.7940
2016-07-29,14.1532
2016-07-28,14.2082
2016-07-27,14.2897
2016-07-26,14.3810
2016-07-25,14.3126
2016-07-22,14.2208
2016-07-21,14.2739
2016-07-20,14.2943
2016-07-19,14.3062
2016-07-18,14.3305
2016-07-15,14.3140
2016-07-14,14.3514
2016-07-13,14.4020
2016-07-12,14.3199
2016-07-11,14.6031
2016-07-08,14.7270
2016-07-07,14.6074
2016-07-06,14.8785
2016-07-05,14.7581
2016-07-04,14.5289
2016-07-01,14.6830
2016-06-30,14.7626
2016-06-29,15.0300
2016-06-28,15.1829
2016-06-27,15.1128
2016-06-24,14.9210
2016-06-23,14.5034
2016-06-22,14.7195
2016-06-21,14.6960
2016-06-20,14.9341
2016-06-17,15.1978
2016-06-15,15.2860
2016-06-14,15.3610
2016-06-13,15.1393
2016-06-10,14.9059
2016-06-09,14.8478
2016-06-08,14.9294
2016-06-07,14.8572
2016-06-06,15.0746
2016-06-03,15.5935
2016-06-02,15.6025
2016-06-01,15.6539
2016-05-31,15.8249
2016-05-30,15.7872
2016-05-27,15.5415
2016-05-26,15.5919
2016-05-25,15.6453
2016-05-24,15.8081
2016-05-23,15.5716
2016-05-20,15.7639
2016-05-19,15.8446
2016-05-18,15.8352
2016-05-17,15.5716
2016-05-16,15.4464
2016-05-13,15.1152
2016-05-12,14.9478
2016-05-11,15.2598
2016-05-10,15.2379
2016-05-09,14.9539
2016-05-06,15.0107
2016-05-05,14.8984
2016-05-04,14.7936
2016-05-03,14.2811
2016-04-29,14.2182
2016-04-28,14.4328
2016-04-26,14.4917
2016-04-25,14.4850
2016-04-22,14.3205
2016-04-21,14.2697
2016-04-20,14.2476
2016-04-19,14.4027
2016-04-18,14.6705
2016-04-15,14.4954
2016-04-14,14.6402
2016-04-13,14.7577
2016-04-12,14.6920
2016-04-11,14.8226
2016-04-08,15.0808
2016-04-07,15.1191
2016-04-06,15.1790
2016-04-05,14.9157
2016-04-04,14.7633
2016-04-01,14.7481
2016-03-31,14.8820
2016-03-30,15.0792
2016-03-29,15.4892
2016-03-24,15.4052
2016-03-23,15.2565
2016-03-22,15.2710
2016-03-18,15.3048
2016-03-17,15.6123
2016-03-16,16.0393
2016-03-15,15.6404
2016-03-14,15.3176
2016-03-11,15.2328
2016-03-10,15.1746
2016-03-09,15.4467
2016-03-08,15.4052
2016-03-07,15.3372
2016-03-04,15.6512
2016-03-03,15.6349
2016-03-02,15.6700
2016-03-01,15.6814
2016-02-29,16.1410
2016-02-26,15.5424
2016-02-25,15.6405
2016-02-24,15.2324
2016-02-23,15.2497
2016-02-22,15.3652
2016-02-19,15.4273
2016-02-18,15.4909
2016-02-17,15.8273
2016-02-16,15.7557
2016-02-15,15.8054
2016-02-12,15.7866
2016-02-11,15.9739
2016-02-10,15.9104
2016-02-09,16.1688
2016-02-08,15.9308
2016-02-05,15.9154
2016-02-04,15.9734
2016-02-03,16.1954
2016-02-02,15.9763
2016-02-01,15.9580
2016-01-29,16.0981
2016-01-28,16.3249
2016-01-27,16.4279
2016-01-26,16.6011
2016-01-25,16.5150
2016-01-22,16.5145
2016-01-21,16.7924
2016-01-20,16.8927
2016-01-19,16.6237
2016-01-18,16.6949
2016-01-15,16.5924
2016-01-14,16.6217
2016-01-13,16.4968
2016-01-12,16.8822
2016-01-11,16.6024
2016-01-08,16.0307
2016-01-07,16.0472
2016-01-06,15.7759
2016-01-05,15.6087
2016-01-04,15.6393
2015-12-31,15.5742
2015-12-30,15.3689
2015-12-29,15.2775
2015-12-28,15.2840
2015-12-24,15.1861
2015-12-23,15.1817
2015-12-22,15.0904
2015-12-21,15.0367
2015-12-18,15.1983
2015-12-17,14.9449
2015-12-15,15.0388
2015-12-14,15.0795
2015-12-11,15.4150
2015-12-10,14.9762
2015-12-09,14.5743
2015-12-08,14.5360
2015-12-07,14.4050
2015-12-04,14.3721
2015-12-03,14.3328
2015-12-02,14.3735
2015-12-01,14.4132
