ValueDate,TheValue
2017-03-10,16.1788
2017-03-09,16.0783
2017-03-08,15.8215
2017-03-07,15.8278
2017-03-06,15.9641
2017-03-03,16.0918
2017-03-02,16.0453
2017-03-01,16.1950
2017-02-28,16.1792
2017-02-27,16.0813
2017-02-24,16.2030
2017-02-23,16.1226
2017-02-22,16.3379
2017-02-21,16.2979
2017-02-20,16.3820
2017-02-17,16.2545
2017-02-16,16.1423
2017-02-15,16.2144
2017-02-14,16.5761
2017-02-13,16.6603
2017-02-10,16.6954
2017-02-09,16.8739
2017-02-08,16.8672
2017-02-07,16.5972
2017-02-06,16.5561
2017-02-03,16.8385
2017-02-02,16.9394
2017-02-01,16.9581
2017-01-31,16.9091
2017-01-30,17.1044
2017-01-27,16.8851
2017-01-26,16.7464
2017-01-25,16.7149
2017-01-24,16.8086
2017-01-23,16.8259
2017-01-20,16.6775
2017-01-19,16.7036
2017-01-18,16.6846
2017-01-17,16.3656
2017-01-16,16.3610
2017-01-13,16.4929
2017-01-12,16.7205
2017-01-11,16.6730
2017-01-10,16.5067
2017-01-09,16.7430
2017-01-06,16.9446
2017-01-05,16.6921
2017-01-04,16.8342
2017-01-03,16.8562
2016-12-30,16.7504
2016-12-29,16.8379
2016-12-28,17.0708
2016-12-23,17.1997
2016-12-22,17.2548
2016-12-21,17.2581
2016-12-20,17.4756
2016-12-19,17.4629
2016-12-15,17.5909
2016-12-14,17.2578
2016-12-13,17.2451
2016-12-12,17.4384
2016-12-09,17.2795
2016-12-08,17.0888
2016-12-07,17.2304
2016-12-06,17.4674
2016-12-05,17.5672
2016-12-02,17.7481
2016-12-01,17.5357
2016-11-30,17.4695
2016-11-29,17.1967
2016-11-28,17.3353
2016-11-25,17.4891
2016-11-24,17.6638
2016-11-23,17.4874
2016-11-22,17.6593
2016-11-21,17.7300
2016-11-18,18.0575
2016-11-17,17.7954
2016-11-16,17.7354
2016-11-15,17.7087
2016-11-14,18.0653
2016-11-11,17.8898
2016-11-10,16.6383
2016-11-09,16.7906
2016-11-08,16.6805
2016-11-07,16.7871
2016-11-04,16.8433
2016-11-03,16.6424
2016-11-02,16.5454
2016-11-01,16.5564
2016-10-31,16.7394
2016-10-28,16.9623
2016-10-27,17.0382
2016-10-26,16.7520
2016-10-25,16.9485
2016-10-24,16.9753
2016-10-21,17.1823
2016-10-20,17.0761
2016-10-19,17.1012
2016-10-18,17.2036
2016-10-17,17.4591
2016-10-14,17.3788
2016-10-13,17.4573
2016-10-12,17.6921
2016-10-11,17.3953
2016-10-10,17.0990
2016-10-07,17.3053
2016-10-06,17.5001
2016-10-05,17.4865
2016-10-04,17.4043
2016-10-03,17.5278
2016-09-30,18.1199
2016-09-29,17.7754
2016-09-28,17.5041
2016-09-27,17.5896
2016-09-26,17.7001
2016-09-23,17.6931
2016-09-22,17.5565
2016-09-21,17.8711
2016-09-20,18.0983
2016-09-19,18.4518
2016-09-16,18.6593
2016-09-15,18.9944
2016-09-14,18.9392
2016-09-13,18.9889
2016-09-12,19.3004
2016-09-09,18.9700
2016-09-08,18.6594
2016-09-07,18.7855
2016-09-06,19.0351
2016-09-05,19.2073
2016-09-02,19.4798
2016-09-01,19.3642
2016-08-31,18.9666
2016-08-30,18.8289
2016-08-29,18.8908
2016-08-26,18.7501
2016-08-25,18.6994
2016-08-24,18.5430
2016-08-23,17.7481
2016-08-22,17.8223
2016-08-19,17.7268
2016-08-18,17.4272
2016-08-17,17.4917
2016-08-16,17.1874
2016-08-15,17.3284
2016-08-12,17.3468
2016-08-11,17.2858
2016-08-10,17.4567
2016-08-08,17.8089
2016-08-05,18.0076
2016-08-04,18.4237
2016-08-02,18.4832
2016-08-01,18.2398
2016-07-29,18.6483
2016-07-28,18.7733
2016-07-27,18.7559
2016-07-26,18.8189
2016-07-25,18.8082
2016-07-22,18.7970
2016-07-21,18.8630
2016-07-20,18.7434
2016-07-19,18.9014
2016-07-18,18.9922
2016-07-15,19.1979
2016-07-14,18.9870
2016-07-13,19.0509
2016-07-12,18.8106
2016-07-11,18.8205
2016-07-08,19.0501
2016-07-07,18.9648
2016-07-06,19.2550
2016-07-05,19.4343
2016-07-04,19.2988
2016-07-01,19.5475
2016-06-30,19.8676
2016-06-29,20.1275
2016-06-28,20.2464
2016-06-27,20.2496
2016-06-24,20.6171
2016-06-23,21.4287
2016-06-22,21.5854
2016-06-21,21.6451
2016-06-20,21.8829
2016-06-17,21.7146
2016-06-15,21.6871
2016-06-14,21.7197
2016-06-13,21.4706
2016-06-10,21.5219
2016-06-09,21.4840
2016-06-08,21.7663
2016-06-07,21.6648
2016-06-06,21.7941
2016-06-03,22.4928
2016-06-02,22.5387
2016-06-01,22.6629
2016-05-31,23.0886
2016-05-30,23.0652
2016-05-27,22.7769
2016-05-26,22.9614
2016-05-25,22.9134
2016-05-24,22.9778
2016-05-23,22.6333
2016-05-20,22.9624
2016-05-19,23.2037
2016-05-18,22.8795
2016-05-17,22.5796
2016-05-16,22.2088
2016-05-13,21.7878
2016-05-12,21.5817
2016-05-11,21.9970
2016-05-10,21.9905
2016-05-09,21.5478
2016-05-06,21.7565
2016-05-05,21.5602
2016-05-04,21.4440
2016-05-03,21.0482
2016-04-29,20.7735
2016-04-28,21.0626
2016-04-26,21.0853
2016-04-25,20.8932
2016-04-22,20.5579
2016-04-21,20.4185
2016-04-20,20.4546
2016-04-19,20.6118
2016-04-18,20.7904
2016-04-15,20.5138
2016-04-14,20.6763
2016-04-13,20.9943
2016-04-12,20.9971
2016-04-11,21.0673
2016-04-08,21.2857
2016-04-07,21.2832
2016-04-06,21.4123
2016-04-05,21.1960
2016-04-04,20.9831
2016-04-01,21.1746
2016-03-31,21.3906
2016-03-30,21.7510
2016-03-29,22.0489
2016-03-24,21.6821
2016-03-23,21.6474
2016-03-22,21.8238
2016-03-18,22.1124
2016-03-17,22.2983
2016-03-16,22.6282
2016-03-15,22.2477
2016-03-14,21.9815
2016-03-11,21.7235
2016-03-10,21.5774
2016-03-09,21.9104
2016-03-08,21.9355
2016-03-07,21.7482
2016-03-04,22.1214
2016-03-03,21.9905
2016-03-02,21.8746
2016-03-01,21.8747
2016-02-29,22.3964
2016-02-26,21.7484
2016-02-25,21.8154
2016-02-24,21.3010
2016-02-23,21.5295
2016-02-22,21.8171
2016-02-19,22.0935
2016-02-18,22.1226
2016-02-17,22.5840
2016-02-16,22.8402
2016-02-15,22.9147
2016-02-12,22.8534
2016-02-11,23.0991
2016-02-10,23.0724
2016-02-09,23.3485
2016-02-08,23.1618
2016-02-05,23.1322
2016-02-04,23.3523
2016-02-03,23.3076
2016-02-02,22.9555
2016-02-01,22.7945
2016-01-29,23.1217
2016-01-28,23.2932
2016-01-27,23.5330
2016-01-26,23.5396
2016-01-25,23.5520
2016-01-22,23.5430
2016-01-21,23.7839
2016-01-20,23.8973
2016-01-19,23.7743
2016-01-18,23.8987
2016-01-15,23.8508
2016-01-14,23.9502
2016-01-13,23.8115
2016-01-12,24.5257
2016-01-11,24.1681
2016-01-08,23.4329
2016-01-07,23.4121
2016-01-06,23.0801
2016-01-05,22.9362
2016-01-04,23.0915
2015-12-31,23.1121
2015-12-30,22.7729
2015-12-29,22.7711
2015-12-28,22.8098
2015-12-24,22.6174
2015-12-23,22.5320
2015-12-22,22.4779
2015-12-21,22.4174
2015-12-18,22.6562
2015-12-17,22.3209
2015-12-15,22.7883
2015-12-14,22.8718
2015-12-11,23.3677
2015-12-10,22.7174
2015-12-09,21.9292
2015-12-08,21.8520
2015-12-07,21.6896
2015-12-04,21.7199
2015-12-03,21.4119
2015-12-02,21.6587
2015-12-01,21.7625
2015-11-30,21.6208
2015-11-27,21.6535
2015-11-26,21.4335
2015-11-25,21.2316
2015-11-24,21.3469
2015-11-23,21.3011
2015-11-20,21.3578
2015-11-19,21.5749
2015-11-18,21.6688
2015-11-17,21.7909
2015-11-16,21.8510
2015-11-13,21.7756
2015-11-12,21.5207
2015-11-11,21.5136
2015-11-10,21.5349
2015-11-09,21.4019
2015-11-06,21.0900
2015-11-05,21.4530
2015-11-04,21.3318
2015-11-03,21.2502
2015-11-02,21.3108
2015-10-30,21.1893
2015-10-29,21.0644
2015-10-28,20.9661
2015-10-27,21.0397
2015-10-26,20.9920
2015-10-23,20.6199
2015-10-22,21.0191
2015-10-21,20.6971
2015-10-20,20.4749
2015-10-19,20.1743
2015-10-16,20.3357
2015-10-15,20.3732
2015-10-14,20.5433
2015-10-13,20.5295
2015-10-12,20.4094
2015-10-09,20.5175
2015-10-08,20.6821
2015-10-07,20.5482
2015-10-06,20.7234
2015-10-05,20.7469
2015-10-02,21.0848
2015-10-01,20.8582
2015-09-30,20.9155
2015-09-29,21.2969
2015-09-28,21.1240
2015-09-25,20.9358
2015-09-23,21.0148
2015-09-22,20.9314
2015-09-21,20.7689
2015-09-18,20.5843
2015-09-17,20.7015
2015-09-16,20.7083
2015-09-15,20.7328
2015-09-14,20.9734
2015-09-11,21.0607
2015-09-10,21.2940
2015-09-09,20.9457
2015-09-08,21.3301
2015-09-07,21.1615
2015-09-04,20.7795
2015-09-03,20.5772
2015-09-02,20.6228
2015-09-01,20.3983
2015-08-31,20.5585
2015-08-28,20.3435
2015-08-27,20.1761
2015-08-26,20.6001
2015-08-25,20.6665
2015-08-24,20.7358
2015-08-21,20.2771
2015-08-20,20.2946
2015-08-19,20.1959
2015-08-18,20.2009
2015-08-17,20.1508
2015-08-14,20.0485
2015-08-13,19.9689
2015-08-12,19.9631
2015-08-11,19.8184
2015-08-07,19.7246
2015-08-06,19.9019
2015-08-05,19.8691
2015-08-04,19.6992
2015-08-03,19.8881
2015-07-31,19.8319
2015-07-30,19.7113
2015-07-29,19.6385
2015-07-28,19.6257
2015-07-27,19.5510
2015-07-24,19.3586
2015-07-23,19.3809
2015-07-22,19.3299
2015-07-21,19.3343
2015-07-20,19.3807
2015-07-17,19.3150
2015-07-16,19.3808
2015-07-15,19.3309
2015-07-14,19.2511
2015-07-13,19.3393
2015-07-10,19.1697
2015-07-09,19.2238
2015-07-08,19.3292
2015-07-07,19.4083
2015-07-06,19.3019
2015-07-03,19.2150
2015-07-02,19.2191
2015-07-01,19.1217
2015-06-30,19.2599
2015-06-29,19.2472
2015-06-26,19.0916
2015-06-25,19.0345
2015-06-24,19.1977
2015-06-23,19.1806
2015-06-22,19.2930
2015-06-19,19.4681
2015-06-18,19.3610
2015-06-17,19.5471
2015-06-15,19.2686
2015-06-12,19.2673
2015-06-11,19.1853
2015-06-10,19.0978
2015-06-09,19.1581
2015-06-08,19.1823
2015-06-05,19.0496
2015-06-04,19.0180
2015-06-03,18.6669
2015-06-02,18.6911
2015-06-01,18.7046
2015-05-29,18.5958
2015-05-28,18.4934
2015-05-27,18.5434
2015-05-26,18.4648
2015-05-25,18.5390
2015-05-22,18.4963
2015-05-21,18.4490
2015-05-20,18.5535
2015-05-19,18.4289
2015-05-18,18.5431
2015-05-15,18.5912
2015-05-14,18.7681
2015-05-13,18.8279
2015-05-12,18.8866
2015-05-11,18.4502
2015-05-08,18.5928
2015-05-07,18.3452
2015-05-06,18.1968
2015-05-05,18.2130
2015-05-04,18.2180
2015-04-30,18.2375
2015-04-29,18.2332
2015-04-28,18.2791
2015-04-24,18.3590
2015-04-23,18.4094
2015-04-22,18.1323
2015-04-21,18.0728
2015-04-20,17.9684
2015-04-17,17.9543
2015-04-16,17.8647
2015-04-15,17.8096
2015-04-14,17.7571
2015-04-13,17.6914
2015-04-10,17.5743
2015-04-09,17.5160
2015-04-08,17.6130
2015-04-07,17.6311
2015-04-02,17.7448
2015-04-01,17.9515
2015-03-31,18.0479
2015-03-30,17.9527
2015-03-27,17.8183
2015-03-26,17.7180
2015-03-25,17.5247
2015-03-24,17.8212
2015-03-23,18.0306
2015-03-20,18.0662
2015-03-19,18.0889
2015-03-18,18.2173
2015-03-17,18.3063
2015-03-16,18.3481
2015-03-13,18.3326
2015-03-12,18.2283
2015-03-11,18.4901
2015-03-10,18.3900
2015-03-09,18.1797
2015-03-06,17.9624
2015-03-05,17.9895
2015-03-04,18.1083
2015-03-03,18.0598
2015-03-02,18.0319
2015-02-27,17.7309
2015-02-26,17.6798
2015-02-25,17.7351
2015-02-24,18.0024
2015-02-23,17.9973
2015-02-20,17.9395
2015-02-19,17.8748
2015-02-18,17.9675
2015-02-17,17.8946
2015-02-16,17.9259
2015-02-13,18.0481
2015-02-12,17.9707
2015-02-11,17.9485
2015-02-10,17.6144
2015-02-09,17.5868
2015-02-06,17.3098
2015-02-05,17.3804
2015-02-04,17.2995
2015-02-03,17.3166
2015-02-02,17.4648
2015-01-30,17.4292
2015-01-29,17.5527
2015-01-28,17.5233
2015-01-27,17.3080
2015-01-26,17.1822
2015-01-23,17.0869
2015-01-22,17.4811
2015-01-21,17.5538
2015-01-20,17.5794
2015-01-19,17.5156
2015-01-16,17.5326
2015-01-15,17.4198
2015-01-14,17.6178
2015-01-13,17.3899
2015-01-12,17.3818
2015-01-09,17.5070
2015-01-08,17.5209
2015-01-07,17.7443
2015-01-06,17.8482
2015-01-05,17.9253
2015-01-02,18.0667
2014-12-31,18.0128
2014-12-30,18.0617
2014-12-29,18.0630
2014-12-24,18.1095
2014-12-23,18.0300
2014-12-22,18.1293
2014-12-19,18.1861
2014-12-18,18.0260
2014-12-17,18.4254
2014-12-15,18.1817
2014-12-12,18.2263
2014-12-11,18.0538
2014-12-10,17.9947
2014-12-09,18.0392
2014-12-08,17.7607
2014-12-05,17.5518
2014-12-04,17.5455
2014-12-03,17.4304
2014-12-02,17.3353
2014-12-01,17.3640
2014-11-28,17.3142
2014-11-27,17.3151
2014-11-26,17.2359
2014-11-25,17.2907
2014-11-24,17.1653
2014-11-21,17.1651
2014-11-20,17.2979
2014-11-19,17.2110
2014-11-18,17.3543
2014-11-17,17.3776
2014-11-14,17.5909
2014-11-13,17.6606
2014-11-12,17.8799
2014-11-11,17.9263
2014-11-10,17.8266
2014-11-07,17.8952
2014-11-06,17.8075
2014-11-05,17.7706
2014-11-04,17.6693
2014-11-03,17.6793
2014-10-31,17.3703
2014-10-30,17.5388
2014-10-29,17.4753
2014-10-28,17.6211
2014-10-27,17.6250
2014-10-24,17.6078
2014-10-23,17.5039
2014-10-22,17.7044
2014-10-21,17.7559
2014-10-20,17.8344
2014-10-17,17.8108
2014-10-16,17.8535
2014-10-15,17.6394
2014-10-14,17.7313
2014-10-13,17.7674
2014-10-10,17.8507
2014-10-09,17.8645
2014-10-08,18.0001
2014-10-07,18.0309
2014-10-06,18.0031
2014-10-03,18.0453
2014-10-02,18.1100
2014-10-01,18.3504
2014-09-30,18.2889
2014-09-29,18.3243
2014-09-26,18.2393
2014-09-25,18.2096
2014-09-23,18.1637
2014-09-22,18.1982
2014-09-19,18.1755
2014-09-18,17.9020
2014-09-17,17.8414
2014-09-16,17.6932
2014-09-15,17.9946
2014-09-12,17.8591
2014-09-11,17.5897
2014-09-10,17.6973
2014-09-09,17.5258
2014-09-08,17.3987
2014-09-05,17.5274
2014-09-04,17.5780
2014-09-03,17.6235
2014-09-02,17.7269
2014-09-01,17.7415
2014-08-29,17.5996
2014-08-28,17.6767
2014-08-27,17.6265
